,time,ecgpoint
0,2024-04-22 15:51:51.371+02,0
1,2024-04-22 15:51:51.375+02,-1
2,2024-04-22 15:51:51.379+02,-3
3,2024-04-22 15:51:51.383+02,-4
4,2024-04-22 15:51:51.387+02,-5
5,2024-04-22 15:51:51.391+02,-6
6,2024-04-22 15:51:51.395+02,-9
7,2024-04-22 15:51:51.399+02,-18
8,2024-04-22 15:51:51.403+02,-11
9,2024-04-22 15:51:51.407+02,-3
10,2024-04-22 15:51:51.411+02,-9
11,2024-04-22 15:51:51.415+02,-37
12,2024-04-22 15:51:51.419+02,-120
13,2024-04-22 15:51:51.423+02,-160
14,2024-04-22 15:51:51.427+02,-223
15,2024-04-22 15:51:51.431+02,-201
16,2024-04-22 15:51:51.435+02,-201
17,2024-04-22 15:51:51.439+02,-192
18,2024-04-22 15:51:51.443+02,-147
19,2024-04-22 15:51:51.447+02,-218
20,2024-04-22 15:51:51.451+02,-70
21,2024-04-22 15:51:51.455+02,-270
22,2024-04-22 15:51:51.459+02,38
23,2024-04-22 15:51:51.463+02,-2193
24,2024-04-22 15:51:51.467+02,-4324
25,2024-04-22 15:51:51.471+02,1825
26,2024-04-22 15:51:51.475+02,9172
27,2024-04-22 15:51:51.479+02,3334
28,2024-04-22 15:51:51.483+02,-26001
29,2024-04-22 15:51:51.487+02,-72733
30,2024-04-22 15:51:51.491+02,-114911
31,2024-04-22 15:51:51.495+02,-127698
32,2024-04-22 15:51:51.499+02,-126103
33,2024-04-22 15:51:51.503+02,-123395
34,2024-04-22 15:51:51.507+02,-112931
35,2024-04-22 15:51:51.511+02,-105926
36,2024-04-22 15:51:51.515+02,-97469
37,2024-04-22 15:51:51.519+02,-91979
38,2024-04-22 15:51:51.523+02,-90835
39,2024-04-22 15:51:51.527+02,-91000
40,2024-04-22 15:51:51.531+02,-90544
41,2024-04-22 15:51:51.535+02,-88865
42,2024-04-22 15:51:51.539+02,-87576
43,2024-04-22 15:51:51.543+02,-86454
44,2024-04-22 15:51:51.547+02,-85391
45,2024-04-22 15:51:51.551+02,-84382
46,2024-04-22 15:51:51.555+02,-83380
47,2024-04-22 15:51:51.559+02,-82416
48,2024-04-22 15:51:51.563+02,-81404
49,2024-04-22 15:51:51.567+02,-80400
50,2024-04-22 15:51:51.571+02,-79381
51,2024-04-22 15:51:51.575+02,-78380
52,2024-04-22 15:51:51.579+02,-77403
53,2024-04-22 15:51:51.583+02,-76428
54,2024-04-22 15:51:51.587+02,-75474
55,2024-04-22 15:51:51.591+02,-74532
56,2024-04-22 15:51:51.595+02,-73608
57,2024-04-22 15:51:51.599+02,-72692
58,2024-04-22 15:51:51.603+02,-71786
59,2024-04-22 15:51:51.607+02,-70894
60,2024-04-22 15:51:51.611+02,-70011
61,2024-04-22 15:51:51.615+02,-69135
62,2024-04-22 15:51:51.619+02,-68272
63,2024-04-22 15:51:51.623+02,-67415
64,2024-04-22 15:51:51.627+02,-66574
65,2024-04-22 15:51:51.631+02,-65748
66,2024-04-22 15:51:51.635+02,-64935
67,2024-04-22 15:51:51.639+02,-64133
68,2024-04-22 15:51:51.643+02,-63334
69,2024-04-22 15:51:51.647+02,-62548
70,2024-04-22 15:51:51.651+02,-61769
71,2024-04-22 15:51:51.655+02,-60996
72,2024-04-22 15:51:51.659+02,-60238
73,2024-04-22 15:51:51.663+02,-59490
74,2024-04-22 15:51:51.667+02,-58751
75,2024-04-22 15:51:51.671+02,-58022
76,2024-04-22 15:51:51.675+02,-57301
77,2024-04-22 15:51:51.679+02,-56588
78,2024-04-22 15:51:51.683+02,-55884
79,2024-04-22 15:51:51.687+02,-55190
80,2024-04-22 15:51:51.691+02,-54502
81,2024-04-22 15:51:51.695+02,-53825
82,2024-04-22 15:51:51.699+02,-53154
83,2024-04-22 15:51:51.703+02,-52493
84,2024-04-22 15:51:51.707+02,-51839
85,2024-04-22 15:51:51.711+02,-51197
86,2024-04-22 15:51:51.715+02,-50563
87,2024-04-22 15:51:51.719+02,-49935
88,2024-04-22 15:51:51.723+02,-49312
89,2024-04-22 15:51:51.727+02,-48699
90,2024-04-22 15:51:51.731+02,-48090
91,2024-04-22 15:51:51.735+02,-47488
92,2024-04-22 15:51:51.739+02,-46899
93,2024-04-22 15:51:51.743+02,-46314
94,2024-04-22 15:51:51.747+02,-45737
95,2024-04-22 15:51:51.751+02,-45165
96,2024-04-22 15:51:51.755+02,-44602
97,2024-04-22 15:51:51.759+02,-44045
98,2024-04-22 15:51:51.763+02,-43497
99,2024-04-22 15:51:51.767+02,-42956
100,2024-04-22 15:51:51.771+02,-42422
101,2024-04-22 15:51:51.775+02,-41897
102,2024-04-22 15:51:51.779+02,-41375
103,2024-04-22 15:51:51.783+02,-40858
104,2024-04-22 15:51:51.787+02,-40347
105,2024-04-22 15:51:51.791+02,-39845
106,2024-04-22 15:51:51.795+02,-39351
107,2024-04-22 15:51:51.799+02,-38863
108,2024-04-22 15:51:51.803+02,-38380
109,2024-04-22 15:51:51.807+02,-37901
110,2024-04-22 15:51:51.811+02,-37427
111,2024-04-22 15:51:51.815+02,-36960
112,2024-04-22 15:51:51.819+02,-36500
113,2024-04-22 15:51:51.823+02,-36046
114,2024-04-22 15:51:51.827+02,-35597
115,2024-04-22 15:51:51.831+02,-35153
116,2024-04-22 15:51:51.835+02,-34712
117,2024-04-22 15:51:51.839+02,-34281
118,2024-04-22 15:51:51.843+02,-33855
119,2024-04-22 15:51:51.847+02,-33436
120,2024-04-22 15:51:51.851+02,-33019
121,2024-04-22 15:51:51.855+02,-32603
122,2024-04-22 15:51:51.859+02,-32194
123,2024-04-22 15:51:51.863+02,-31792
124,2024-04-22 15:51:51.867+02,-31398
125,2024-04-22 15:51:51.871+02,-31008
126,2024-04-22 15:51:51.875+02,-30621
127,2024-04-22 15:51:51.879+02,-30237
128,2024-04-22 15:51:51.883+02,-29858
129,2024-04-22 15:51:51.887+02,-29485
130,2024-04-22 15:51:51.891+02,-29119
131,2024-04-22 15:51:51.895+02,-28755
132,2024-04-22 15:51:51.899+02,-28397
133,2024-04-22 15:51:51.903+02,-28042
134,2024-04-22 15:51:51.907+02,-27691
135,2024-04-22 15:51:51.911+02,-27348
136,2024-04-22 15:51:51.915+02,-27008
137,2024-04-22 15:51:51.919+02,-26672
138,2024-04-22 15:51:51.923+02,-26338
139,2024-04-22 15:51:51.927+02,-26005
140,2024-04-22 15:51:51.931+02,-25679
141,2024-04-22 15:51:51.935+02,-25358
142,2024-04-22 15:51:51.939+02,-25040
143,2024-04-22 15:51:51.943+02,-24729
144,2024-04-22 15:51:51.947+02,-24417
145,2024-04-22 15:51:51.951+02,-24112
146,2024-04-22 15:51:51.955+02,-23807
147,2024-04-22 15:51:51.959+02,-23508
148,2024-04-22 15:51:51.963+02,-23218
149,2024-04-22 15:51:51.967+02,-22932
150,2024-04-22 15:51:51.971+02,-22650
151,2024-04-22 15:51:51.975+02,-22365
152,2024-04-22 15:51:51.979+02,-22083
153,2024-04-22 15:51:51.983+02,-21806
154,2024-04-22 15:51:51.987+02,-21531
155,2024-04-22 15:51:51.991+02,-21263
156,2024-04-22 15:51:51.995+02,-20997
157,2024-04-22 15:51:51.999+02,-20732
158,2024-04-22 15:51:52.003+02,-20472
159,2024-04-22 15:51:52.007+02,-20214
160,2024-04-22 15:51:52.011+02,-19954
161,2024-04-22 15:51:52.015+02,-19702
162,2024-04-22 15:51:52.019+02,-19451
163,2024-04-22 15:51:52.023+02,-19207
164,2024-04-22 15:51:52.027+02,-18964
165,2024-04-22 15:51:52.031+02,-18728
166,2024-04-22 15:51:52.035+02,-18491
167,2024-04-22 15:51:52.039+02,-18258
168,2024-04-22 15:51:52.043+02,-18026
169,2024-04-22 15:51:52.047+02,-17798
170,2024-04-22 15:51:52.051+02,-17574
171,2024-04-22 15:51:52.055+02,-17350
172,2024-04-22 15:51:52.059+02,-17127
173,2024-04-22 15:51:52.063+02,-16907
174,2024-04-22 15:51:52.067+02,-16691
175,2024-04-22 15:51:52.071+02,-16478
176,2024-04-22 15:51:52.075+02,-16272
177,2024-04-22 15:51:52.079+02,-16064
178,2024-04-22 15:51:52.083+02,-15862
179,2024-04-22 15:51:52.087+02,-15660
180,2024-04-22 15:51:52.091+02,-15461
181,2024-04-22 15:51:52.095+02,-15261
182,2024-04-22 15:51:52.099+02,-15066
183,2024-04-22 15:51:52.103+02,-14870
184,2024-04-22 15:51:52.107+02,-14681
185,2024-04-22 15:51:52.111+02,-14490
186,2024-04-22 15:51:52.115+02,-14306
187,2024-04-22 15:51:52.119+02,-14120
188,2024-04-22 15:51:52.123+02,-13936
189,2024-04-22 15:51:52.127+02,-13754
190,2024-04-22 15:51:52.131+02,-13581
191,2024-04-22 15:51:52.135+02,-13408
192,2024-04-22 15:51:52.139+02,-13234
193,2024-04-22 15:51:52.143+02,-13063
194,2024-04-22 15:51:52.147+02,-12899
195,2024-04-22 15:51:52.151+02,-12734
196,2024-04-22 15:51:52.155+02,-12574
197,2024-04-22 15:51:52.159+02,-12415
198,2024-04-22 15:51:52.163+02,-12257
199,2024-04-22 15:51:52.167+02,-12108
200,2024-04-22 15:51:52.171+02,-11964
201,2024-04-22 15:51:52.175+02,-11826
202,2024-04-22 15:51:52.179+02,-11685
203,2024-04-22 15:51:52.183+02,-11542
204,2024-04-22 15:51:52.187+02,-11391
205,2024-04-22 15:51:52.191+02,-11237
206,2024-04-22 15:51:52.195+02,-11086
207,2024-04-22 15:51:52.199+02,-10937
208,2024-04-22 15:51:52.203+02,-10792
209,2024-04-22 15:51:52.207+02,-10649
210,2024-04-22 15:51:52.211+02,-10507
211,2024-04-22 15:51:52.215+02,-10371
212,2024-04-22 15:51:52.219+02,-10234
213,2024-04-22 15:51:52.223+02,-10101
214,2024-04-22 15:51:52.227+02,-9968
215,2024-04-22 15:51:52.231+02,-9836
216,2024-04-22 15:51:52.235+02,-9709
217,2024-04-22 15:51:52.239+02,-9584
218,2024-04-22 15:51:52.243+02,-9461
219,2024-04-22 15:51:52.247+02,-9336
220,2024-04-22 15:51:52.251+02,-9214
221,2024-04-22 15:51:52.255+02,-9091
222,2024-04-22 15:51:52.259+02,-8973
223,2024-04-22 15:51:52.263+02,-8851
224,2024-04-22 15:51:52.267+02,-8737
225,2024-04-22 15:51:52.271+02,-8626
226,2024-04-22 15:51:52.275+02,-8518
227,2024-04-22 15:51:52.279+02,-8407
228,2024-04-22 15:51:52.283+02,-8299
229,2024-04-22 15:51:52.287+02,-8186
230,2024-04-22 15:51:52.291+02,-8076
231,2024-04-22 15:51:52.295+02,-7974
232,2024-04-22 15:51:52.299+02,-7873
233,2024-04-22 15:51:52.303+02,-7777
234,2024-04-22 15:51:52.307+02,-7680
235,2024-04-22 15:51:52.311+02,-7583
236,2024-04-22 15:51:52.315+02,-7486
237,2024-04-22 15:51:52.319+02,-7389
238,2024-04-22 15:51:52.323+02,-7291
239,2024-04-22 15:51:52.327+02,-7196
240,2024-04-22 15:51:52.331+02,-7101
241,2024-04-22 15:51:52.335+02,-7006
242,2024-04-22 15:51:52.339+02,-6914
243,2024-04-22 15:51:52.343+02,-6822
244,2024-04-22 15:51:52.347+02,-6733
245,2024-04-22 15:51:52.351+02,-6644
246,2024-04-22 15:51:52.355+02,-6554
247,2024-04-22 15:51:52.359+02,-6466
248,2024-04-22 15:51:52.363+02,-6382
249,2024-04-22 15:51:52.367+02,-6302
250,2024-04-22 15:51:52.371+02,-6225
251,2024-04-22 15:51:52.375+02,-6144
252,2024-04-22 15:51:52.379+02,-6064
253,2024-04-22 15:51:52.383+02,-5986
254,2024-04-22 15:51:52.387+02,-5909
255,2024-04-22 15:51:52.391+02,-5833
256,2024-04-22 15:51:52.395+02,-5759
257,2024-04-22 15:51:52.399+02,-5687
258,2024-04-22 15:51:52.403+02,-5611
259,2024-04-22 15:51:52.407+02,-5537
260,2024-04-22 15:51:52.411+02,-5466
261,2024-04-22 15:51:52.415+02,-5398
262,2024-04-22 15:51:52.419+02,-5331
263,2024-04-22 15:51:52.423+02,-5264
264,2024-04-22 15:51:52.427+02,-5198
265,2024-04-22 15:51:52.431+02,-5134
266,2024-04-22 15:51:52.435+02,-5066
267,2024-04-22 15:51:52.439+02,-4998
268,2024-04-22 15:51:52.443+02,-4935
269,2024-04-22 15:51:52.447+02,-4871
270,2024-04-22 15:51:52.451+02,-4810
271,2024-04-22 15:51:52.455+02,-4748
272,2024-04-22 15:51:52.459+02,-4688
273,2024-04-22 15:51:52.463+02,-4629
274,2024-04-22 15:51:52.467+02,-4573
275,2024-04-22 15:51:52.471+02,-4514
276,2024-04-22 15:51:52.475+02,-4457
277,2024-04-22 15:51:52.479+02,-4396
278,2024-04-22 15:51:52.483+02,-4337
279,2024-04-22 15:51:52.487+02,-4281
280,2024-04-22 15:51:52.491+02,-4229
281,2024-04-22 15:51:52.495+02,-4178
282,2024-04-22 15:51:52.499+02,-4128
283,2024-04-22 15:51:52.503+02,-4078
284,2024-04-22 15:51:52.507+02,-4027
285,2024-04-22 15:51:52.511+02,-3972
286,2024-04-22 15:51:52.515+02,-3922
287,2024-04-22 15:51:52.519+02,-3872
288,2024-04-22 15:51:52.523+02,-3825
289,2024-04-22 15:51:52.527+02,-3780
290,2024-04-22 15:51:52.531+02,-3732
291,2024-04-22 15:51:52.535+02,-3684
292,2024-04-22 15:51:52.539+02,-3637
293,2024-04-22 15:51:52.543+02,-3589
294,2024-04-22 15:51:52.547+02,-3546
295,2024-04-22 15:51:52.551+02,-3502
296,2024-04-22 15:51:52.555+02,-3460
297,2024-04-22 15:51:52.559+02,-3416
298,2024-04-22 15:51:52.563+02,-3376
299,2024-04-22 15:51:52.567+02,-3334
300,2024-04-22 15:51:52.571+02,-3295
301,2024-04-22 15:51:52.575+02,-3254
302,2024-04-22 15:51:52.579+02,-3216
303,2024-04-22 15:51:52.583+02,-3178
304,2024-04-22 15:51:52.587+02,-3141
305,2024-04-22 15:51:52.591+02,-3104
306,2024-04-22 15:51:52.595+02,-3067
307,2024-04-22 15:51:52.599+02,-3027
308,2024-04-22 15:51:52.603+02,-2992
309,2024-04-22 15:51:52.607+02,-2957
310,2024-04-22 15:51:52.611+02,-2922
311,2024-04-22 15:51:52.615+02,-2884
312,2024-04-22 15:51:52.619+02,-2845
313,2024-04-22 15:51:52.623+02,-2810
314,2024-04-22 15:51:52.627+02,-2777
315,2024-04-22 15:51:52.631+02,-2749
316,2024-04-22 15:51:52.635+02,-2720
317,2024-04-22 15:51:52.639+02,-2688
318,2024-04-22 15:51:52.643+02,-2653
319,2024-04-22 15:51:52.647+02,-2615
320,2024-04-22 15:51:52.651+02,-2580
321,2024-04-22 15:51:52.655+02,-2548
322,2024-04-22 15:51:52.659+02,-2519
323,2024-04-22 15:51:52.663+02,-2489
324,2024-04-22 15:51:52.667+02,-2458
325,2024-04-22 15:51:52.671+02,-2426
326,2024-04-22 15:51:52.675+02,-2395
327,2024-04-22 15:51:52.679+02,-2368
328,2024-04-22 15:51:52.683+02,-2344
329,2024-04-22 15:51:52.687+02,-2314
330,2024-04-22 15:51:52.691+02,-2289
331,2024-04-22 15:51:52.695+02,-2260
332,2024-04-22 15:51:52.699+02,-2238
333,2024-04-22 15:51:52.703+02,-2214
334,2024-04-22 15:51:52.707+02,-2185
335,2024-04-22 15:51:52.711+02,-2154
336,2024-04-22 15:51:52.715+02,-2127
337,2024-04-22 15:51:52.719+02,-2101
338,2024-04-22 15:51:52.723+02,-2079
339,2024-04-22 15:51:52.727+02,-2054
340,2024-04-22 15:51:52.731+02,-2027
341,2024-04-22 15:51:52.735+02,-2003
342,2024-04-22 15:51:52.739+02,-1979
343,2024-04-22 15:51:52.743+02,-1961
344,2024-04-22 15:51:52.747+02,-1940
345,2024-04-22 15:51:52.751+02,-1915
346,2024-04-22 15:51:52.755+02,-1889
347,2024-04-22 15:51:52.759+02,-1869
348,2024-04-22 15:51:52.763+02,-1848
349,2024-04-22 15:51:52.767+02,-1832
350,2024-04-22 15:51:52.771+02,-1814
351,2024-04-22 15:51:52.775+02,-1790
352,2024-04-22 15:51:52.779+02,-1766
353,2024-04-22 15:51:52.783+02,-1742
354,2024-04-22 15:51:52.787+02,-1719
355,2024-04-22 15:51:52.791+02,-1699
356,2024-04-22 15:51:52.795+02,-1680
357,2024-04-22 15:51:52.799+02,-1661
358,2024-04-22 15:51:52.803+02,-1645
359,2024-04-22 15:51:52.807+02,-1626
360,2024-04-22 15:51:52.811+02,-1605
361,2024-04-22 15:51:52.815+02,-1583
362,2024-04-22 15:51:52.819+02,-1564
363,2024-04-22 15:51:52.823+02,-1548
364,2024-04-22 15:51:52.827+02,-1533
365,2024-04-22 15:51:52.831+02,-1518
366,2024-04-22 15:51:52.835+02,-1499
367,2024-04-22 15:51:52.839+02,-1478
368,2024-04-22 15:51:52.843+02,-1461
369,2024-04-22 15:51:52.847+02,-1447
370,2024-04-22 15:51:52.851+02,-1433
371,2024-04-22 15:51:52.855+02,-1415
372,2024-04-22 15:51:52.859+02,-1399
373,2024-04-22 15:51:52.863+02,-1378
374,2024-04-22 15:51:52.867+02,-1366
375,2024-04-22 15:51:52.871+02,-1353
376,2024-04-22 15:51:52.875+02,-1338
377,2024-04-22 15:51:52.879+02,-1322
378,2024-04-22 15:51:52.883+02,-1304
379,2024-04-22 15:51:52.887+02,-1290
380,2024-04-22 15:51:52.891+02,-1276
